HoFung Leung
Sibylle Schwarz
Ulrich Junker
Jeremy Frank
Richard Dearden
Peter Jeavons
David Cohen
Marc Gyssens
Rosella Gennari
Timothy J Hickey
Maarten H van Emden
Huan Wu
Benjamin W Wah
Yi Xin Chen
Luis Urbina
Christian Bessire
Alan M Frisch
Brahim Hnich
Zeynep Kiziltan
Ian Miguel
Toby Walsh
Makoto Yokoo
Katsutoshi Hirayama
Filippo Focacci
Andrea Lodi
Michela Milano
Alan Holland
Barry OCallaghan
Barry OSullivan
Csar Fernndez
Ramn Bjar
Bhaskar Krishnamachari
Carla P Gomes
Carlos Eisenberg
Boi Faltings
Meinolf Sellmann
Nicolas Beldiceanu
Mats Carlsson
Jorge Cruz
Pedro Barahona
Helmut Simonis
Daniel Frost
Rina Dechter
Chi Kan Cheng
Jimmy Ho Man Lee
Peter J Stuckey
B M W Cheng
Jimmy HoMan Lee
J C K Wu
Boi Faltings
Santiago MachoGonzalez
Erik Kilborn
Patrick Prosser
Kostas Stergiou
Toby Walsh
Wim Hellinck
Roman Bartk
Pascal Van Hentenryck
Andrew Eremin
Mark Wallace
Peter Z Revesz
Mengchu Cai
Filippo Focacci
Michela Milano
Barbara M Smith
Barbara M Smith
Kristen B Venable
Mark Wallace
Daniel Sheridan
Paula Amaral
Pedro Barahona
Witold Charatonik
Andreas Podelski
Jian Zhang
Hantao Zhang
Nicoleta Neagu
Dhritiman Banerjee
Jeremy Frank
Livio Colussi
Elena Marchiori
Massimo Marchiori
Christian Bessire
JeanCharles Rgin
Moyra Duggan
Barry OSullivan
Eugene C Freuder
Michael Jampel
JeanMarie Jacquet
David Gilbert
Sebastian Hunt
Bhaskar Krishnamachari
Xi Xie
Bart Selman
Stephen B Wicker
Andrea Panati
Osamu Morikawa
Takanori Maesako
Christopher Landauer
Kirstie L Bellman
John Halloran
Benedict du Boulay
Rosemary Luckin
Richard Brophy
Will Venters
Anne Jelfs
Denise Whitelock
Craig G NevillManning
Ian H Witten
Gordon W Paynter
Richard Furuta
Catherine C Marshall
Frank M Shipman III
John J Leggett
Michael S Brown
W Brent Seales
Andreas Rauber
Dieter Merkl
Dion HoeLian Goh
John J Leggett
Alice M Agogino
Michael J Hu
Ye Jian
JooHwee Lim
Prasun Dewan
Kevin Jeffay
John Smith
P David Stotts
William Oliver
Zhibiao Wu
Mark Liberman
Steve Hitchcock
Les Carr
S Harris
Jessie Hey
Wendy Hall
Derek Thompson
Jeffrey Burka
Gary Marchionini
Peter Weinstein
Gene Alloway
Masayuki Kumazawa
Hironori Kamada
Atsushi Yamada
Hiroshi Hoshino
Yahiko Kambayashi
Mukesh K Mohania
Varna Puvvada
Roy H Campbell
Lloyd A Smith
Eline F Chiu
Brian L Scott
Ira Smotroff
Lynette Hirschman
Samuel Bayer
Robert Pettengill
Guillermo Arango
Naomi Dushay
James C French
Carl Lagoze
Peter J Nrnberg
Richard Furuta
John J Leggett
Catherine C Marshall
Frank M Shipman III
Hsinchun Chen
Bruce R Schatz
Marshall Ramsey
YiMing Chung
Timothy ArnoldMoore
Phil Anderson
Ron SacksDavis
Jack Brassil
Ghaleb Abdulla
Winfield S Heagy
Edward A Fox
Yuan Chen
Jan Edler
Andrew V Goldberg
Allan Gottlieb
Sumeet Sobti
Peter N Yianilos
Laura A Slaughter
Douglas W Oard
Vernon L Warnick
Julie L Harding
Galen J Wilkerson
Jon W Dunn
Constance A Mayer
Hsinchun Chen
Bruce R Schatz
Andrea Houston
Robin R Sewell
Tobun D Ng
Chienting Lin
Nancy A Van House
David M Levy
Ann Peterson Bishop
Barbara Buttenfield
GeertJan Houben
Paul De Bra
Amanda Spink
Dongwook Shin
Sejin Nam
Munseok Kim
Mark G L M van Doorn
Arjen P de Vries
Jennifer Trant
Christine L Borgman
Thomas A Phelps
Robert Wilensky
Lloyd Rutledge
Jacco van Ossenbruggen
Lynda Hardman
Dick C A Bulterman
Joe D Martin
Robert Holte
Yong Kyu Lee
SeongJoon Yoo
Kyoungro Yoon
P Bruce Berra
Kevin ChenChuan Chang
Hector GarciaMolina
Guillemette DuchateauNguyen
Grard Weisbuch
L Peliti
Fritz Lehmann
Samy A Mahmoud
J Spruce Riordon
K C Toth
Ernesto Damiani
Barbara Oliboni
Letizia Tanca
D Veronese
Gordon C Everest
Hans Weigand
Egon Verharen
Frank Dignum
Gunter Schlageter
Robert W Engles
Laurence Cholvy
T William Olle
A P G Brown
LingLing Yan
Tok Wang Ling
P Moulin
J Randon
M Teboul
S Savoysky
Stefano Spaccapietra
H Tardieu
G M Stacey
Robert Demolombe
Arantza Illarramendi
Jos Miguel Blanco
Chris Clifton
E Housman
Arnon Rosenthal
Michael Stonebraker
Lawrence A Rowe
Bruce G Lindsay
Jim Gray
Michael J Carey
Michael L Brodie
Philip A Bernstein
David Beech
B C M Douqu
G M Nijssen
Georg Lausen
Jian Tang
Ada WaiChee Fu
L I Mercz
Elke A Rundensteiner
Manen Ying
Yahiko Kambayashi
Kai Cheng
Yanchun Zhang
Theo Hrder
Andreas Reuter
Robert W Taylor
David W Stemple
HansJrg Schek
Andreas Wolf
Eld Knuth
Lszl Hannk
Pter Rdo
Miron Abramovici
John M Emmert
Charles E Stroud
Adrian Stoica
Didier Keymeulen
Ricardo Salem Zebulum
Subhasish Mitra
Edward J McCluskey
Vesselin K Vassilev
Julian F Miller
Terence C Fogarty
Gianluca Tempesti
Daniel Mange
Enrico Petraglio
Andr Stauffer
Yann Thoma
Luks Sekanina
Richard Ruzicka
HoSik Seok
KwangJu Lee
ByoungTak Zhang
DongWook Lee
KweeBo Sim
Hugo de Garis
Andrzej Buller
Thierry Dob
Jean Honlet
Padma Guttikonda
Derek Decesare
Sushil J Louis
Julian F Miller
Keith L Downing
Ernesto Damiani
Andrea Tettamanzi
Valentino Liberali
William A Crossley
George J Milne
Daniel Mange
Moshe Sipper
Andr Stauffer
Gianluca Tempesti
Bernhard Hill
Barbara Fox
Brian A LaMacchia
Eran Gabber
Markus Jakobsson
Yossi Matias
Alain J Mayer
Markus Jakobsson
Ari Juels
Markus Jakobsson
Joy Mller
Yacov Yacobi
Yacov Yacobi
Stuart Schechter
Todd Parnell
Alexander Hartemink
Ronald L Rivest
Philippe Golle
Stuart G Stubblebine
Benjamin Wright
Adi Shamir
David W Kravitz
David M Goldschlag
Scott Moskowitz
Mihir Bellare
Chanathip Namprempre
David Pointcheval
Michael Semanko
Paul C Kocher
Laure Berti
JeanLuc Damoiseaux
Elisabeth Murisasco
Qun Lou
Peter Stucki
Laura A Mather
Afzal Ballim
Giovanni Coray
A Linden
Christine Vanoirbeek
Myatav Erdenechimeg
Richard Moore
Yumbayar Namsrai
AnneMarie Vercoustre
Franois Paradis
Isabel F Cruz
Slava Borisov
Michael A Marks
Timothy R Webb
Uwe Hohenstein
Yoshihiro Nakanishi
Tatsuo Hirose
Katsumi Tanaka
Edward Sciore
Peter P Chen
Peter P Chen
Franca Garzotto
Paolo Paolini
Davide Bolchini
Sara Valenti
Peter P Chen
Bernhard Thalheim
Leah Y Wong
Frederick N Springsteel
PoJen Chuang
Eckhart von Hahn
Barbara Paech
Conrad Bock
D R McGregor
J R Malone
Sirkka L Jarvenpaa
Jefry J Machesky
JeanPhilippe Lagrange
Elisabeth Mtais
JeanNol Meunier
Gilles Levreau
Igor Hawryszkiewycz
Peter Hartel
Ralf Jungclaus
Maokai Gong
Louise Scott
Yingping Xiao
Ray Offen
H Hsu
Nick Roussopoulos
Ferdi Put
Arnold Rochfeld
J Morejon
Pascal Nergos
Hoewon Kim
Seog Park
RaduAnton Eftime
MongLi Lee
Tok Wang Ling
Zhiyong Peng
Yahiko Kambayashi
Neil W Webre
Paul K Blackwell
Dan Kapp
Ross A Overbeek
H J Spencer
Gio Wiederhold
Stanley B Zdonik
Paul K Blackwell
Sushil Jajodia
Peter A Ng
Hirotaka Sakai
Hidefumi Kondo
Zenshiro Kawasaki
Silvana Castano
Luigi Palopoli
Riccardo Torlone
Thomas Feyer
KlausDieter Schewe
Bernhard Thalheim
Andrea Cal
Diego Calvanese
Giuseppe De Giacomo
Maurizio Lenzerini
T William Olle
Annamaria Auddino
Yves Dennebouy
Yann Dupont
Edi Fontana
Stefano Spaccapietra
Zahir Tari
Yinyan Cao
EePeng Lim
Wee Keong Ng
Fabio Grandi
Federica Mandreoli
Carlo Meghini
Fabrizio Sebastiani
Elaine Stricklett
JaeWoo Chang
Victor M Markowitz
Yoav Raz
Yoshiaki Takata
Kokoro Nakagawa
Hiroyuki Seki
Thomas A Bruce
Sayaka Imai
Takashi Tomii
Hiroshi Arisawa
Manfred A Jeusfeld
Christoph Quix
Matthias Jarke
Xian Ye
Christine Parent
Stefano Spaccapietra
Eric S K Yu
Lin Liu
Ying Li
Wolfgang Roesner
Chiara Francalanci
Barbara Pernici
Zanthe Information
Machiko Chikano
Yoshitaka Tomita
Yasuhiko Hiraide
Eiji Arai
Altigran Soares da Silva
Alberto H F Laender
Marco A Casanova
Silvana Castano
Valeria De Antonellis
Shamkant B Navathe
A M Awong
Mike P Papazoglou
Bernd J Krmer
Athman Bouguettaya
P S Neuman
Takashi Tomii
Hiroshi Arisawa
Peter Frhlich
Zaijun Hu
Manfred Schoelzke
Tiziana Catarci
Giuseppe Santucci
Judith Newton
Asterio K Tanaka
Shamkant B Navathe
Sharma Chakravarthy
Kamalakar Karlapalem
H Tardieu
D Pascot
Dominique Nanci
H Heckroth
Mack W Alford
Eunsook Jin
Jungmin Seo
Kwangjoon Lee
JuWon Song
Barry W Boehm
Daniel Port
C Wieland
Jianhua Zhu
Rodolphe Nassif
Pankaj Goyal
Pamela Drew
Bertil Askelid
Brian Warboys
A N W Dahanayake
Henk G Sol
Jan L G Dietz
Gerti Kappel
Birgit Prll
Werner Retschitzegger
Wieland Schwinger
Hidenori Yoshizumi
Koichi Hori
Shinichi Nakasuka
H Briand
C Ducateau
Y Hebrail
Danile HrinAime
Jacques Kouloumdjian
Hirotaka Sakai
Nadira Lammari
Andr Flory
Vincent Giard
Ellen Rose
Arie Segev
Natacha Gell
Daniel Schwabe
Patricia Vilain
Tok Wang Ling
MongLi Lee
James C Wetherbe
Takako Hashimoto
Yukari Shirota
Atsushi Iizawa
Hideko S Kunii
Alex Friedgan
Sergey Melnik
Donal J Flynn
Mohammad Davarpanah Jazi
Iqbal A Goralwalla
Duane Szafron
M Tamer zsu
Randal J Peters
David S Reiner
Brian Knight
Hirotaka Sakai
Antonio L Furtado
Marco A Casanova
Luiz Tucherman
Antonio L Furtado
Paulo A S Veloso
Jos Mauro V de Castilho
Luis E AnidoRifn
Martn Llamas Nistal
Manuel J Fernndez Iglesias
Judith S Rodrguez
Juan M Santos
Manuel Caeiro
Alan G Merten
Arnold Rochfeld
Moira C Norrie
Cheng Hsu
Alvaro Perry
Mhamed Bouziane
Waiman Cheung
Harri Siirtola
James Dullea
IlYeol Song
Svein Erik Bratsberg
Michel Schneider
Claude Trpied
Vram Kouramajian
Michael Gertz
Anthony C Bloesch
Terry A Halpin
Ashok Pahwa
Adarsh K Arora
Maria Terranova
et al
ChienLe Goh
Masahiko Tsukamoto
Shojiro Nishio
Antonio L Furtado
Marco A Casanova
Joachim W Schmidt
HansWerner Sehring
Yoshioki Ishii
T Ishizaka
Narendra Mohan
Jianlin Feng
Stephen Bear
Michel Charpentier
K Mani Chandy
Giovanni Vigna
Kai Engelhardt
Willem P de Roever
Bent Dandanell
Jesper Grtz
Jan Storbank Pedersen
Eld Zierau
Andrzej Blikle
Paul F Syverson
Stuart G Stubblebine
Donald I Good
Shenwei Yu
Zhaohui Luo
JeanRaymond Abrial
Mchel Mac an Airchinnigh
Thomas Gnther
KlausDieter Schewe
Ingrid Wetzel
Franois Erasmy
Emil Sekerinski
Claus Pahl
Amir Pnueli
Ofer Strichman
Michael Siegel
Andrzej M Borzyszkowski
Ryszard Kubiak
Stefan Sokolowski
Lynn S Marshall
Linda Simon
Robin Milner
Ian MacColl
David A Carrington
Michel Charpentier
Razvan Diaconescu
Kokichi Futatsugi
Shusaku Iida
Karl N Levitt
Lawrence Robinson
Brad A Silverberg
Shengchao Qin
Jin Song Dong
WeiNgan Chin
Odile Laurent
Pierre Michel
Virginie Wiels
Juan C BurguilloRial
Manuel J Fernndez Iglesias
Francisco J GonzlezCastao
Martn Llamas Nistal
Didier Bert
Sylvain Boulm
MarieLaure Potet
Antoine Requet
Laurent Voisin
Peter Gorm Larsen
Poul Bgh Lassen
Leila Silva
Augusto Sampaio
Edna Barros
JuanJos Martins
JeanPierre Hubaux
Cliff B Jones
Patrice Chalin
Peter Grogono
Thiruvengadam Radhakrishnan
Carsta Petersohn
Luis Urbina
Giuseppe Del Castillo
Andrew Butterfield
Veronika Doma
Robin A Nicholl
Jim Woodcock
Gerard R Renardel de Lavalette
Leonid A Kalinichenko
Nikolaj S Nikitchenko
Vladimir Zadorozhny
David J Duke
Michael D Harrison
Alan Wassyng
Mark Lawford
Thomas A Kuhn
David von Oheimb
J A Keane
Jin Sa
Brian Warboys
Thomas Firley
Ursula Goltz
C A Middelburg
Gerard R Renardel de Lavalette
Kevin Lano
Juan Bicarregui
Jos Luiz Fiadeiro
Antnia Lopes
Michael Goldsmith
Nick Moffat
Bill Roscoe
Tim Whitworth
Irfan Zakiuddin
Herbert Klaeren
Jrgen Staunstrup
Einar W Karlsen
Colin J Fidge
Jayadev Misra
Igor B Bourdonov
Alexander Kossatchev
Victor V Kuliamin
Alexandre Petrenko
Jin Song Dong
Jing Sun
Hai Wang
Perry Alexander
Murali Rangarajan
Phillip Baraona
Robert Eschbach
Pieter H Hartel
Michael J Butler
Eduard de Jong
Mark Longley
Paulo S C Alencar
Donald D Cowan
Carlos Jos Pereira de Lucena
Eric Meyer
Jeanine Souquires
Martin Schnhoff
Mojgan Kowsari
Ian Houston
Steve King
H B M Jonkers
Jan Philipps
Bernhard Rumpe
David M Goldschlag
Ian J Hayes
Michael Jackson
Cliff B Jones
Joo Pedro Sousa
David Garlan
John Herbert
Bruno Dutertre
Robert Riemenschneider
Victoria Stavridou
Richard F Paige
Eric C R Hehner
S J Goldsack
Wanderley Lopes de Souza
Paulo Nazareno Maia Sampaio
JeanMarie Farines
Roberto Milton Scheffel
Maria Janilce B Almeida
Luciano Paschoal Gaspary
Lisandro Zambenedetti Granville
Roberto Willrich
Murilo S de Camargo
Marcelo Domingos
Uwe Schmidt
HansMartin Hrcher
Sten Agerholm
Jacob Frost
Frank Wagner
Alexander Wolff
Vance E Waddle
Helmut Alt
Michael Godau
Sue Whitesides
Ulrik Brandes
Sabine Cornelsen
Dorothea Wagner
Claus Lewerentz
Frank Simon
Frank Steinbrckner
CarlChristian Kanne
Falk Schreiber
Dietrich Trmbach
David Harel
Yehuda Koren
Peter Eades
QingWen Feng
Tiziana Calamoneri
Andrea Sterbini
David R Wood
Emden R Gansner
Stephen C North
Stina S Bridgeman
Ashim Garg
Roberto Tamassia
Therese C Biedl
Anna Bretscher
Henk Meijer
Christian Matuszewski
Robby Schnfeld
Paul Molitor
FranzJosef Brandenburg
Hubert de Fraysseix
Patrice Ossona de Mendez
Tamara Munzner
Wojciech Basalaj
Karen Eilbeck
Michael Jnger
Sebastian Leipert
Jonathan Berry
Nathaniel Dean
Mark K Goldberg
Gregory E Shannon
Steven Skiena
Aaron J Quigley
Peter Eades
Marcus Raitner
Robert F Cohen
Peter Eades
Tao Lin
Frank Ruskey
Alok Aggarwal
S Rao Kosaraju
Mihai Pop
Jan Kratochvl
Teresa M Przytycka
David Dodson
Michael Jnger
Sebastian Leipert
Petra Mutzel
Giuseppe Di Battista
